Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
  2/7/2008,  Canberra,14.5,24.2,0,6.8,5.9,       SSW,61,         N,       NNW,11,20,76,76,999.4,998.9,7,7,17.9,20.3,        No,16.2,1
  8/3/2008,  Canberra,2.3,12.8,0,2.2,9.6,       WNW,35,       ENE,       WNW,4,24,70,48,1021.2,1018.1,1,1,7.8,11.6,        No,0,0
 2/22/2008,  Canberra,12.7,28.6,6.6,3.2,8.6,         W,50,       nan,         W,       nan,28,78,42,1008.3,1002.3,5,5,16.5,27.4,       Yes,0,0
  2/2/2008,  Canberra,14.9,28.8,0,5.8,8.1,       NNE,30,       SSE,       NNE,7,11,71,44,1018.2,1014.5,7,2,19.1,27,        No,0,0
  8/7/2008,  Canberra,-0.6,11.1,0,3,5,       NNW,41,        SE,         N,7,26,89,78,1018.4,1015.9,7,7,3.8,5.7,        No,1.2,1
 11/1/2007,  Canberra,8,24.3,0,3.4,6.3,        NW,30,        SW,        NW,6,20,68,29,1019.7,1015,7,7,14.4,23.6,        No,3.6,1
 8/12/2008,  Canberra,0.1,10.4,0,1.8,7.9,       WNW,59,        NW,       WNW,22,24,69,63,1021.3,1020.1,1,6,7,8.6,        No,0,0
12/29/2007,  Canberra,14.4,31.6,0,6.6,13.6,       NNW,30,        NW,         N,6,7,65,30,1017.1,1014.2,0,2,21.5,30.3,        No,0,0
  5/4/2008,  Canberra,-0.9,16.7,0,2.4,9.3,       NNW,30,        SW,       NNW,2,15,76,42,1022.7,1018.5,5,2,6.2,15.4,        No,0,0
 4/28/2008,  Canberra,4.3,11.3,7.2,4.4,5.6,         W,57,       WNW,       WNW,26,22,75,60,1006.3,1008.1,3,6,7.1,8.8,       Yes,0.2,0
 5/22/2008,  Canberra,2.4,14.7,0,2.6,9.2,       ESE,20,       SSE,         E,7,6,74,43,1030.4,1026,1,1,5.9,13.8,        No,0,0
 5/30/2008,  Canberra,-0.1,18,0,2,8.6,       nan,       nan,         N,       NNW,2,15,83,46,1033.2,1028.7,1,1,5.6,17.4,        No,0,0
 5/25/2008,  Canberra,-0.3,17.5,0,1.6,8.4,         W,39,        SE,       NNW,6,15,81,48,1025.5,1021.8,1,5,6.2,17.2,        No,3.8,1
11/12/07,  Canberra,8.5,27.3,0.2,7.2,12.5,         E,41,         E,        NW,2,15,54,35,1023.8,1019.9,0,3,16.8,26,        No,0,0
 4/29/2008,  Canberra,-2.1,13.8,0.2,1.8,9.5,       NNW,22,       nan,       NNW,0,9,69,40,1020.6,1019.6,0,1,6.3,13.2,        No,0,0
 9/15/2008,  Canberra,8.7,19.7,1.6,5.2,8,        NW,98,        NW,       NNW,31,52,63,33,1009.1,1001.5,3,6,15.6,18.5,       Yes,3.4,1
 1/29/2008,  Canberra,17.9,33.9,0,10.4,11.8,       ENE,46,         S,         W,6,11,72,22,1017.4,1014.6,1,1,19.8,32.3,        No,0,0
 7/30/2008,  Canberra,-2.8,12.2,0,2.6,8.7,       NNW,31,       nan,       NNW,0,15,84,48,1018.3,1014.6,1,1,2.7,11.5,        No,0,0
 6/29/2008,  Canberra,1.2,16,0,1.4,6.1,       NNW,31,         S,         N,6,22,84,38,1024.6,1020.9,7,6,6.5,14.6,        No,0,0
11/22/2007,  Canberra,16.4,19.4,0.4,9.2,0,         E,26,       ENE,         E,6,11,88,72,1010.7,1008.9,8,8,16.5,18.3,        No,25.8,1
 8/28/2008,  Canberra,-0.1,14.7,0,3.4,9.9,       ENE,30,        SE,        NE,6,15,60,43,1029.9,1025.9,1,5,7.2,12.3,        No,0,0
 9/20/2008,  Canberra,7.5,23.3,0,6.8,10.9,       WNW,65,         N,        NW,15,41,46,15,1012.5,1010.9,1,0,18.3,21.3,        No,0,0
 6/25/2008,  Canberra,4.3,12.6,0,2,9,        NW,46,       nan,       WNW,0,28,75,54,1026.3,1021.9,3,1,7.8,11.3,        No,0,0
11/10/07,  Canberra,8.4,22.8,16.2,5.4,7.7,         E,31,         S,       ESE,7,6,82,32,1024.1,1020.7,7,1,13.3,21.7,       Yes,0,0
  5/8/2008,  Canberra,-0.2,18.1,0,4.4,9.4,        NW,24,       nan,        NW,0,9,80,44,1021.4,1018.9,1,1,6.7,16.9,        No,0,0
 4/16/2008,  Canberra,6.3,19.3,0,3.4,10.6,         S,31,         S,        SE,9,13,65,39,1027.9,1024.4,1,1,12.6,18.8,        No,0,0
 8/21/2008,  Canberra,2.4,14.1,0,3,1.8,        NW,46,       NNW,        NW,15,30,50,27,1021.4,1017.8,8,8,8.6,13.2,        No,0,0
 8/11/2008,  Canberra,-0.3,9.3,0.4,1.4,9.9,         N,39,       NNW,         N,9,30,72,60,1017.4,1016.6,1,1,4.7,8.3,        No,0,0
 8/16/2008,  Canberra,3.7,14.2,0,3,10,       NNW,46,       WNW,       WSW,24,28,52,27,1012.7,1011.8,1,1,8.7,13.5,        No,0,0
  3/1/2008,  Canberra,4.4,21.8,0,6.2,12.1,         S,35,       SSE,       SSE,15,15,60,31,1020.8,1019.3,1,1,11.7,20,        No,0,0
 7/10/2008,  Canberra,1.8,8.7,0,1.8,1.2,        NW,65,        NW,        NW,31,35,83,85,1014.6,1010.5,7,7,6,6.9,        No,1.6,1
 7/31/2008,  Canberra,-2.8,14.1,0,2.2,6.8,       WNW,48,       nan,       WNW,0,26,81,38,1017.3,1012.9,1,7,3,12.8,        No,1,0
 4/10/2008,  Canberra,7.2,22.9,0,2.2,9.5,         E,26,       NNW,         N,4,6,82,28,1023.1,1019.2,1,1,14,22.2,        No,0,0
 3/22/2008,  Canberra,11.6,19.6,0,2.8,1.6,         E,33,        SE,       ESE,6,17,71,64,1023.6,1021.8,7,8,14,17.9,        No,0,0
  9/4/2008,  Canberra,5.4,11.3,0.2,2.2,0.6,       ENE,35,        SE,       ESE,11,17,65,61,1035.7,1031.9,7,7,8.3,10.2,        No,0,0
 11/3/2007,  Canberra,13.7,23.4,3.6,5.8,3.3,        NW,85,         N,       NNE,6,6,82,69,1009.5,1007.2,8,7,15.4,20.2,       Yes,39.8,1
 6/11/2008,  Canberra,10.2,15,4.8,0.2,0.5,        NW,46,       NNW,        NW,22,17,90,65,1022.9,1022.1,7,7,12.9,13.7,       Yes,0.2,0
12/27/2007,  Canberra,14.3,26.7,0,7.2,7.1,       NNW,65,         N,       NNW,7,48,68,64,1017.3,1014.3,7,7,19.8,19,        No,14.4,1
  7/2/2008,  Canberra,6.6,13.1,0.2,2.8,8.2,       WNW,61,       NNW,       WNW,31,30,62,53,1013.5,1014,5,1,10.6,12.3,        No,0,0
  6/7/2008,  Canberra,-0.2,15.5,0,1.4,9,        NE,28,         N,       ESE,4,11,86,42,1027.6,1027,1,1,4.9,14.5,        No,0,0
11/24/2007,  Canberra,12,24.3,0.4,1.2,7.5,       NNE,26,       WSW,        NE,6,9,74,57,1020.7,1019.2,7,5,17.8,22.8,        No,0,0
 9/27/2008,  Canberra,6.5,25.7,0,4.8,10.5,       NNW,50,       NNW,        NW,2,24,62,25,1022.8,1016.4,5,1,15.9,24.7,        No,0,0
 7/17/2008,  Canberra,-1.8,11.5,0,0.6,4.7,       NNW,41,       nan,       NNW,0,24,99,55,1019.7,1013.9,7,3,1.3,11,        No,0,0
12/23/2007,  Canberra,9.2,20.4,17.4,7.8,10.2,       ENE,39,         N,         N,9,20,59,49,1009.5,1009.1,1,7,14.9,18.8,       Yes,0,0
12/19/2007,  Canberra,12.8,21,0,6.4,0.8,        NE,22,        NE,       ENE,7,6,72,54,1018,1015.6,8,8,16.1,20,        No,3.4,1
 8/26/2008,  Canberra,-1.5,17.3,0,2.8,9,        NW,48,       nan,       WNW,0,26,77,23,1023.9,1020.3,5,7,4.8,15.8,        No,0,0
 12/3/2007,  Canberra,16.6,24.2,0.2,6.6,4.7,        NW,50,       WNW,        NW,13,35,72,60,1007.9,1004.6,7,7,20.5,19.9,        No,6.6,1
 7/20/2008,  Canberra,-1.1,11,0.2,1.8,0,       WNW,41,       nan,        NE,0,6,92,87,1014.4,1009,7,8,2.4,8.7,        No,19.2,1
  7/1/2008,  Canberra,5.3,11.7,2,3.6,5.6,        NW,78,        NW,         W,33,33,73,56,1012.1,1012.3,3,1,6.9,11.1,       Yes,0.2,0
 9/21/2008,  Canberra,4.7,19.5,0,10,11,       NNW,46,       NNE,       NNW,13,33,42,25,1018.7,1015.1,1,0,14.5,18.3,        No,0,0
 5/23/2008,  Canberra,1.2,14.8,0,2.4,6.7,        SE,17,        SE,       SSW,11,6,81,49,1028.5,1024.8,7,1,5.3,14.5,        No,0,0
 9/23/2008,  Canberra,7.8,16.2,17.4,6.4,7.9,        NW,50,        NW,         N,15,22,73,44,1016.7,1017.8,7,1,8,14.3,       Yes,0,0
12/18/2007,  Canberra,7.5,20.9,0,6.6,8.7,       ENE,39,        SE,         E,13,20,61,43,1020.6,1018.3,6,7,15.3,19.8,        No,0,0
10/12/08,  Canberra,4.5,23.9,0,4.8,11.7,        NW,30,       ENE,       NNW,4,11,67,27,1025.8,1021.5,0,4,12.6,22.3,        No,0,0
 8/30/2008,  Canberra,0.5,16.3,0,1.8,4.1,       NNW,39,       SSW,       WSW,4,6,81,45,1023.7,1017.5,7,8,6.2,15.4,        No,4,1
  4/7/2008,  Canberra,8.1,20.5,0,3.8,7.8,       ENE,31,       ESE,       ENE,11,11,66,48,1027.8,1024,1,5,14.9,19.5,        No,0,0
 1/18/2008,  Canberra,15.1,20.4,0,9.6,0.1,       ESE,39,       ESE,       ESE,17,19,63,55,1017.5,1015.8,8,8,17.8,19.4,        No,18.8,1
  2/3/2008,  Canberra,17.1,29.6,0,5.8,9.2,         E,48,        SE,       ESE,9,17,67,38,1016.7,1012.8,6,7,21.7,29.1,        No,1.8,1
 10/4/2008,  Canberra,14.4,20.7,7.6,9.4,4.9,       NNW,33,       NNW,       NNW,20,19,94,65,1015.5,1013.2,8,4,14.5,19.3,       Yes,3,1
 7/26/2008,  Canberra,-2,11.3,0.2,2.2,5.9,       WNW,33,        SE,       WNW,2,19,88,50,1020,1015.3,7,7,1.2,10.9,        No,0,0
  7/5/2008,  Canberra,-0.1,14.2,0,1.4,7,         W,13,       nan,       WNW,       nan,2,81,55,1032.9,1028.9,1,2,4.7,12.6,        No,0,0
  2/4/2008,  Canberra,18.2,22.6,1.8,8,0,       ENE,33,       SSE,       ENE,7,13,92,76,1014.4,1011.5,8,8,18.5,22.1,       Yes,9,1
12/26/2007,  Canberra,9.8,26.3,0,5.2,13,       NNW,41,         W,       NNW,6,19,63,35,1023.2,1018,1,1,15.3,23.9,        No,0,0
 5/26/2008,  Canberra,4.7,18.5,3.8,2,5.1,       ESE,22,       NNW,         W,6,6,99,50,1026.6,1023.1,7,4,7,17.9,       Yes,5.2,1
 5/29/2008,  Canberra,2.2,17.5,0.2,1.2,8.5,        NW,20,       SSE,       WNW,7,7,92,45,1032.1,1029.6,2,1,5.5,17.3,        No,0,0
 12/9/2007,  Canberra,15,29.4,0,6.6,11.1,        NW,43,         N,         W,9,24,78,24,1010.8,1008.5,7,7,20.6,28.6,        No,0,0
 9/11/2008,  Canberra,-2.5,16.6,0,3,9.9,        NW,31,        NE,         N,4,20,68,20,1018.8,1013.9,1,1,6,16.3,        No,0,0
  5/6/2008,  Canberra,7.5,16.8,0,2.8,3,        NW,41,         W,        NW,7,26,70,53,1018,1013.8,7,7,12.5,15.4,        No,0,0
  6/9/2008,  Canberra,7.4,16.3,0,1.2,       nan,       NNE,30,       SSE,        NE,6,19,75,65,1031.4,1027.9,7,7,12.1,14.5,        No,6.2,1
 4/17/2008,  Canberra,5.3,21,0,4.6,6.3,       WNW,26,       SSW,        NW,7,7,77,44,1027.2,1023.3,7,2,12,20.4,        No,0,0
 7/13/2008,  Canberra,0.5,11,0,1,0.9,       NNW,31,       nan,        NW,0,15,92,69,1024.4,1021.9,7,7,2.8,10.7,        No,0,0
 3/26/2008,  Canberra,12.6,20.2,19.8,2.6,9.1,         W,46,       NNW,         W,17,20,76,50,1007.9,1008.4,5,4,15.1,17.4,       Yes,0,0
  1/5/2008,  Canberra,12.1,27.5,0,7.4,11.7,        NE,35,       SSE,         E,7,15,69,40,1011.8,1007.4,7,2,18.6,26.8,        No,0,0
  8/1/2008,  Canberra,3,9.7,1,2.6,0.7,         W,65,        NW,        NW,19,28,64,82,1005.1,1001.3,8,7,9.6,8.6,        No,6.6,1
 6/18/2008,  Canberra,0.4,15.5,0,1,4.7,         N,13,         N,       NNW,6,9,97,70,1026.7,1023.5,5,7,4,15,        No,0,0
 12/6/2007,  Canberra,16.3,26.8,0,6,6.3,       ENE,39,       ESE,       ESE,13,9,78,54,1018.8,1016.1,8,7,18.6,24.5,        No,0,0
  9/3/2008,  Canberra,3.2,12.1,0,2.8,3.9,       ESE,41,        SE,        SE,17,20,69,51,1033.6,1033.2,7,5,9.3,11.1,        No,0.2,0
  4/2/2008,  Canberra,5.3,23.3,0,3.6,5.6,       NNW,83,       SSW,        NW,2,37,90,26,1018,1010.5,1,8,9.5,22.5,        No,2.6,1
  1/9/2008,  Canberra,17.5,29.9,0,6.6,8.8,         E,43,         E,       ENE,13,11,74,45,1018.5,1015.9,8,1,19.3,27.9,        No,0,0
 1/16/2008,  Canberra,17.9,33.2,0,10.4,8.4,         N,59,         N,       NNE,15,20,58,62,1008.5,1006.1,6,7,24.5,23.5,        No,4.8,1
 5/14/2008,  Canberra,2.2,18.6,0,2,9.2,       NNW,31,       nan,       NNW,       nan,20,84,44,1024.4,1021,1,3,8.5,17.8,        No,0,0
10/11/08,  Canberra,8.2,22.4,0,5.4,11.2,        NW,31,       SSW,        NW,2,17,70,30,1027.8,1023.8,1,3,13.6,20.6,        No,0,0
  7/3/2008,  Canberra,-1.6,11.5,0,2.8,8.9,         N,31,       ESE,       NNW,7,20,82,53,1024.3,1021.9,1,1,3,11.1,        No,0,0
 12/8/2007,  Canberra,16.5,28.2,4,4.2,8.8,        NE,39,         E,         N,7,13,76,42,1014.8,1011.4,8,1,18,26.3,       Yes,0,0
 6/13/2008,  Canberra,8.7,13,0.6,3.2,7.1,       WNW,54,         W,       WNW,19,28,82,58,1013.7,1014.1,4,2,8.8,11.1,        No,0,0
12/15/2007,  Canberra,10.1,29.9,0,6.8,8.8,         E,41,        SE,       WNW,2,13,63,36,1012.6,1010.2,1,8,17.4,29.1,        No,5.4,1
  7/4/2008,  Canberra,-3.1,12,0,1.8,3.9,       ESE,35,       SSW,        NE,4,13,80,52,1030.5,1030,1,6,5.9,10.2,        No,0,0
 7/25/2008,  Canberra,-2.1,12.9,0,1.2,8.1,         S,31,        SE,        SE,7,13,92,25,1025.7,1020.9,2,1,1.4,12.3,        No,0.2,0
  6/1/2008,  Canberra,0.6,14,0,2.2,2.7,        NE,17,       nan,       ENE,       nan,7,99,67,1032.3,1028.9,7,7,4.6,13.9,        No,0,0
 1/19/2008,  Canberra,15.3,19.6,18.8,5,0,        NE,33,       SSE,       NNE,9,13,92,88,1008.7,1006,8,8,18,18.6,       Yes,12.2,1
  3/9/2008,  Canberra,12.1,27.8,0,5,11.5,         E,41,        SE,       NNE,7,11,66,33,1024.8,1023.1,0,1,17.8,27,        No,0,0
 6/17/2008,  Canberra,5.4,15.5,0,1.6,5.8,       NNE,20,       SSW,       NNE,7,7,80,58,1028.6,1025.5,7,1,9.4,14.9,        No,0,0
 8/15/2008,  Canberra,4.6,14.7,0,4.4,8.4,       WNW,52,       WNW,        NW,28,33,54,51,1014.7,1012.4,1,3,9.2,12,        No,0,0
  5/9/2008,  Canberra,0.1,21,0,2.2,9.2,       NNW,17,       WNW,         N,2,9,78,36,1023.2,1020.3,0,1,7.6,20.7,        No,0,0
  2/6/2008,  Canberra,13.6,27.4,1,2.8,8,         W,52,        NW,       WNW,6,24,77,41,1002.1,997.5,4,7,18.7,26.5,        No,0,0
  6/8/2008,  Canberra,4.3,14.5,0,2,3,         E,30,       SSE,       ENE,6,13,76,70,1034.3,1031.7,7,7,7.9,13,        No,0,0
 6/27/2008,  Canberra,3.5,14.3,0,3.4,8.9,       NNW,35,         N,       NNW,7,24,71,51,1027.8,1025,1,1,6.7,12.7,        No,0,0
10/29/2008,  Canberra,12.5,19.9,0,8.4,5.3,       ESE,43,       ENE,       ENE,11,9,63,47,1024,1022.8,3,2,14.5,18.3,        No,0,0
  1/1/2008,  Canberra,13.6,34.2,0,8.8,12.8,       NNE,35,       ESE,         W,2,11,50,20,1015.8,1011.6,7,6,21.9,31.8,        No,0,0
 6/30/2008,  Canberra,0.5,15.4,0,2.4,6.4,         W,70,        NW,       NNW,22,28,53,68,1017.2,1010.2,1,7,9.7,12.9,        No,2,1
 3/13/2008,  Canberra,13.2,33.1,0,8.6,9.7,       ENE,39,        SE,       NNW,7,7,91,18,1020.9,1017.7,7,1,16.1,31.7,        No,0,0
  9/8/2008,  Canberra,0.2,15.5,1,2.4,9.4,        SE,31,       nan,       WNW,0,11,79,37,1020.6,1018.2,1,1,7.2,15.3,        No,0,0
  4/5/2008,  Canberra,3.2,21.4,0,3.2,10.6,         E,26,        SE,       NNW,7,7,76,27,1025.2,1022.3,0,1,8.2,20.5,        No,0,0
  5/2/2008,  Canberra,2.1,17.3,0,1.6,9.2,         W,43,       SSW,       WNW,6,28,81,38,1020,1017.3,1,2,8.7,15.9,        No,0,0
 9/26/2008,  Canberra,2.5,20.9,0,3.6,10.6,       NNW,44,        NW,       WNW,20,26,48,35,1025.4,1020.6,2,6,15.4,20,        No,0,0
10/21/2008,  Canberra,9,20.6,0,9,6.2,       ENE,39,         S,        SW,11,11,54,28,1022.3,1018.6,7,5,11.4,18.5,        No,0.8,0
10/17/2008,  Canberra,5,24.1,0,6.2,12,       NNW,52,       nan,       NNW,0,26,73,34,1024.5,1020.7,6,1,11.6,21.9,        No,0,0
 4/15/2008,  Canberra,5.4,20.7,0,3.2,10.8,       SSE,28,       SSE,         S,7,9,66,36,1027.2,1023.9,1,2,12.3,20.4,        No,0,0
 7/21/2008,  Canberra,2.3,11.6,19.2,1.8,7.5,       WNW,54,       WNW,       WNW,26,31,78,56,1006.9,1010.3,7,3,7.6,11.2,       Yes,0,0
 1/21/2008,  Canberra,15.9,19.9,0.8,5.6,1.6,         E,48,       SSE,       ESE,17,22,73,58,1011.4,1012.1,8,7,17.4,18.6,        No,0,0
 6/28/2008,  Canberra,-1.5,14.8,0,2.2,8,        NW,15,         N,        NW,6,9,90,41,1029.1,1026,4,3,2.1,14.5,        No,0,0
  6/3/2008,  Canberra,9.8,14.4,0.8,0.6,0,       ESE,20,         S,       ESE,9,11,99,86,1028.5,1027.2,8,8,12.1,13.6,        No,3.8,1
  3/5/2008,  Canberra,12,27.6,0,6,11,         E,46,       SSE,       WSW,7,6,69,35,1025.5,1022.2,1,1,15.7,26.2,        No,0,0
 10/2/2008,  Canberra,5.6,27.6,0,5.2,11,        NW,46,       NNW,        NW,15,28,44,21,1017.7,1014.1,0,0,19,26.7,        No,0,0
 6/21/2008,  Canberra,0.4,13.9,0.6,0.8,7.7,       WNW,41,         E,       WNW,6,19,99,59,1023,1021,3,6,4.2,12.1,        No,0,0
12/30/2007,  Canberra,15.4,35,0,9.6,13,         E,39,       SSW,       ESE,6,22,55,18,1017.4,1015,1,1,23.4,34.3,        No,0,0
 5/11/2008,  Canberra,8.3,17.4,0,2,1.6,         E,20,       WSW,        NE,6,11,80,52,1024.4,1021.5,7,7,13.5,17.2,        No,0,0
 9/29/2008,  Canberra,4.9,18.9,0,9.6,9.4,        NW,44,         S,        NW,6,22,41,32,1015.2,1013.9,2,7,14.9,16,        No,0,0
 6/12/2008,  Canberra,7.3,16.4,0.2,1.2,8.5,        NW,43,         N,       WNW,15,24,86,48,1023.7,1019.7,1,1,11.2,14.7,        No,0.6,0
11/11/07,  Canberra,9.1,25.2,0,4.2,11.9,         N,30,        SE,        NW,6,9,74,34,1024.4,1021.1,1,2,14.6,24,        No,0.2,0
10/16/2008,  Canberra,4.4,21,0,4.2,12.2,        NW,28,        SW,        NW,2,9,73,30,1025.7,1022.3,1,1,9.6,19.2,        No,0,0
 4/19/2008,  Canberra,8.4,16.1,0,3,4.9,        SE,35,        SE,       ESE,13,22,69,51,1029.5,1027.4,6,7,13.6,15.2,        No,0,0
 3/27/2008,  Canberra,4.4,18.3,0,4.6,9.6,         N,33,        SE,         N,7,17,80,36,1014.8,1012.6,1,2,8.4,17.4,        No,0,0
 2/15/2008,  Canberra,10.8,25.2,0,5.6,12.6,       ENE,35,        SE,         E,7,7,69,32,1020.2,1016.7,1,1,15,24.3,        No,0,0
 4/18/2008,  Canberra,7.9,19.7,0,3.2,8.3,       ESE,48,       SSE,       ENE,17,11,58,43,1027.3,1024.1,3,6,14,19.1,        No,0,0
12/16/2007,  Canberra,15.5,21.1,5.4,6.4,0.9,         S,31,       SSE,        NE,6,7,93,86,1010.1,1008.6,8,8,16.6,20,       Yes,1.4,1
 3/25/2008,  Canberra,13.1,17.4,6.4,2.8,0,       NNW,43,         N,         N,11,20,94,93,1010.2,1006.5,8,8,16.4,16.6,       Yes,19.8,1
